objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14660384,062281,RUA DA RELACAO,005,Centro                    ,4,RESIDENCIAL,APARTAMENTO,100,38.5,782663.425,782663.425,COMPRA E VENDA,2016,01,8
14660385,062331,RUA RIACHUELO,005,Centro                    ,4,RESIDENCIAL,APARTAMENTO,100,52,668591.7125,668591.7125,COMPRA E VENDA,2016,01,2
14660386,062331,RUA RIACHUELO,005,Centro                    ,4,RESIDENCIAL,APARTAMENTO,100,58.25,704275.9025,704275.9025,COMPRA E VENDA,2016,01,5
14660387,062331,RUA RIACHUELO,005,Centro                    ,12,RESIDENCIAL,APARTAMENTO,95.833333,39.916666,525907.62,547292.0975,COMPRA E VENDA,2016,01,12
14660388,062430,RUA SANTANA,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,43,419698.395,419698.395,COMPRA E VENDA,2016,01,6
14660389,062943,AVN TREZE DE MAIO,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,29.5,333955.89,333955.89,COMPRA E VENDA,2016,01,1
14660390,062950,RUA UBALDINO DO AMARAL,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,64.5,784945.255,784945.255,COMPRA E VENDA,2016,01,5
14660391,084319,AVN N/S DE FATIMA,005,Centro                    ,2,RESIDENCIAL,APARTAMENTO,100,35,427847.935,427847.935,COMPRA E VENDA,2016,01,8
14660392,074799,RUA JOSE BERNARDINO,006,Catumbi                   ,2,RESIDENCIAL,APARTAMENTO,100,55,268060.155,268060.155,COMPRA E VENDA,2016,01,1
14660393,062034,AVN PAULO DE FRONTIN,007,Rio Comprido              ,2,RESIDENCIAL,APARTAMENTO,100,72,214817.275,214817.275,COMPRA E VENDA,2016,01,8
14660394,065722,RUA ARISTIDES LOBO,007,Rio Comprido              ,11,RESIDENCIAL,APARTAMENTO,100,46.272727,295450.45909,295450.45909,COMPRA E VENDA,2016,01,6
14660395,066928,RUA DO BISPO,007,Rio Comprido              ,4,RESIDENCIAL,APARTAMENTO,100,73.5,463322.28,463322.28,COMPRA E VENDA,2016,01,3
14660396,066928,RUA DO BISPO,007,Rio Comprido              ,3,RESIDENCIAL,APARTAMENTO,100,65,473734.44,473734.44,COMPRA E VENDA,2016,01,6
14660397,066928,RUA DO BISPO,007,Rio Comprido              ,8,RESIDENCIAL,APARTAMENTO,95.83375,72.375,560511.94125,571788.27125,COMPRA E VENDA,2016,01,9
14660398,076984,RUA DO MATOSO,007,Rio Comprido              ,2,RESIDENCIAL,APARTAMENTO,100,65,248026.97,248026.97,COMPRA E VENDA,2016,01,3
14660399,061069,AVN PRES VARGAS,008,Cidade Nova               ,2,RESIDENCIAL,APARTAMENTO,100,51,253140.26,253140.26,COMPRA E VENDA,2016,01,8
14660400,061069,AVN PRES VARGAS,008,Cidade Nova               ,2,RESIDENCIAL,APARTAMENTO,87.5,64.5,296958.365,336031.835,COMPRA E VENDA,2016,01,11
14660401,063875,RUA MONSEN MANOEL GOMES,010,São Cristóvão             ,10,RESIDENCIAL,APARTAMENTO,100,55.3,220292.62,220292.62,COMPRA E VENDA,2016,01,4
14660402,063875,RUA MONSEN MANOEL GOMES,010,São Cristóvão             ,6,RESIDENCIAL,APARTAMENTO,100,54.666666,217770.063333,217770.063333,COMPRA E VENDA,2016,01,8
14660403,063875,RUA MONSEN MANOEL GOMES,010,São Cristóvão             ,8,RESIDENCIAL,APARTAMENTO,100,55,197586.455,197586.455,COMPRA E VENDA,2016,01,11
14660404,063883,RUA SAO LUIZ GONZAGA,010,São Cristóvão             ,2,RESIDENCIAL,APARTAMENTO,100,85,228081.455,228081.455,COMPRA E VENDA,2016,01,12
14660405,072504,RUA GAL BRUCE,010,São Cristóvão             ,2,RESIDENCIAL,APARTAMENTO,100,46,201570.375,201570.375,COMPRA E VENDA,2016,01,6
14660406,072504,RUA GAL BRUCE,010,São Cristóvão             ,2,RESIDENCIAL,APARTAMENTO,100,57.5,165318.515,165318.515,COMPRA E VENDA,2016,01,9
14660407,088880,RUA ALMTE BALTAZAR,010,São Cristóvão             ,2,RESIDENCIAL,APARTAMENTO,100,87,399983.52,399983.52,COMPRA E VENDA,2016,01,8
14660408,060129,RUA ANDRE CAVALCANTI,014,Santa Teresa              ,2,RESIDENCIAL,APARTAMENTO,100,41.5,303120.765,303120.765,COMPRA E VENDA,2016,01,12
14660409,066761,RUA BENJAMIM CONSTANT,014,Santa Teresa              ,2,RESIDENCIAL,APARTAMENTO,75,39,254182.545,363743.985,COMPRA E VENDA,2016,01,1
14660410,069575,RUA DIAS DE BARROS,014,Santa Teresa              ,2,RESIDENCIAL,APARTAMENTO,100,37,243230.52,243230.52,COMPRA E VENDA,2016,01,4
14660411,064717,RUA ALMTE TAMANDARE,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,162.5,1595802.675,1595802.675,COMPRA E VENDA,2016,01,12
14660412,066316,RUA BARAO DE ICARAI,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,86.5,1087306.285,1087306.285,COMPRA E VENDA,2016,01,7
14660413,067181,RUA BUARQUE DE MACEDO,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,83.333333,69.333333,517203.736666,680875.806666,COMPRA E VENDA,2016,01,3
14660414,067181,RUA BUARQUE DE MACEDO,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,100,67.666666,742707.466666,742707.466666,COMPRA E VENDA,2016,01,9
14660415,067181,RUA BUARQUE DE MACEDO,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,72.06,64.666666,314023.19,635047.59,COMPRA E VENDA,2016,01,12
14660416,069021,RUA CORREA DUTRA,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,83.333333,53,559031.043333,637593.64,COMPRA E VENDA,2016,01,7
14660417,069021,RUA CORREA DUTRA,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,75,39.333333,305521.196666,431366.836666,COMPRA E VENDA,2016,01,10
14660418,069708,RUA DOIS DE DEZEMBRO,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,62.5,55,409943.975,614534.06,COMPRA E VENDA,2016,01,3
